Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,3242.550049,3261.199951,3191.000000,3198.750000,3166.908203,95877
2023-03-16,3196.000000,3219.000000,3171.449951,3184.750000,3153.047607,52784
2023-03-17,3151.000000,3220.000000,3145.000000,3178.949951,3147.305420,269767
2023-03-20,3173.500000,3173.500000,3096.100098,3141.199951,3109.931152,52684
2023-03-21,3145.000000,3155.000000,3097.000000,3105.899902,3074.982422,34240
2023-03-22,3121.350098,3143.600098,3106.100098,3130.699951,3099.535400,33080
2023-03-23,3117.000000,3144.000000,3100.800049,3124.000000,3092.902344,26541
2023-03-24,3145.000000,3169.699951,3108.800049,3121.449951,3090.377686,34882
2023-03-27,3123.850098,3151.949951,3105.850098,3120.100098,3089.041260,77555
2023-03-28,3122.000000,3145.350098,3110.000000,3115.500000,3084.487061,31013
2023-03-29,3125.000000,3149.000000,3105.000000,3138.100098,3106.861816,25771
2023-03-31,3191.000000,3214.000000,3153.000000,3205.800049,3173.888184,39813
2023-04-03,3225.000000,3225.000000,3175.000000,3199.250000,3167.403320,29210
2023-04-05,3190.000000,3263.600098,3185.750000,3236.800049,3204.579590,188173
2023-04-06,3227.500000,3256.899902,3216.699951,3221.699951,3189.629639,139159
2023-04-10,3217.000000,3271.000000,3215.550049,3263.199951,3230.716797,101932
2023-04-11,3275.000000,3275.000000,3193.199951,3214.250000,3182.253906,103589
2023-04-12,3218.000000,3259.949951,3200.000000,3242.100098,3209.826660,126563
2023-04-13,3210.050049,3226.000000,3181.050049,3189.850098,3158.096924,232961
2023-04-17,3150.000000,3163.350098,3070.300049,3139.600098,3108.347168,191858
2023-04-18,3148.050049,3155.800049,3111.300049,3131.300049,3100.129639,151970
2023-04-19,3126.000000,3132.050049,3072.350098,3088.699951,3057.953613,185687
2023-04-20,3100.000000,3112.949951,3079.000000,3104.449951,3073.546875,76175
2023-04-21,3101.000000,3165.750000,3101.000000,3161.649902,3130.177490,58734
2023-04-24,3151.000000,3180.600098,3126.600098,3174.149902,3142.552979,122196
2023-04-25,3180.000000,3190.850098,3148.899902,3175.300049,3143.691650,76223
2023-04-26,3176.000000,3207.000000,3176.000000,3199.699951,3167.848633,40943
2023-04-27,3200.000000,3200.000000,3171.000000,3187.100098,3155.374268,80128
2023-04-28,3208.000000,3227.199951,3197.149902,3216.000000,3183.986328,51644
2023-05-02,3217.000000,3232.100098,3211.000000,3219.199951,3187.154541,69567
2023-05-03,3209.050049,3215.750000,3174.050049,3180.300049,3148.642090,53799
2023-05-04,3191.949951,3224.500000,3181.000000,3220.350098,3188.293213,74186
2023-05-05,3220.300049,3242.899902,3210.000000,3230.850098,3198.688965,23445
2023-05-08,3230.850098,3253.000000,3230.850098,3249.949951,3217.598389,53011
2023-05-09,3247.000000,3298.199951,3246.500000,3283.899902,3251.210449,23799
2023-05-10,3288.000000,3306.300049,3268.000000,3285.949951,3253.240234,62216
2023-05-11,3306.000000,3309.000000,3272.500000,3281.500000,3248.834473,22830
2023-05-12,3281.500000,3290.000000,3259.350098,3273.750000,3241.161621,19204
2023-05-15,3280.500000,3292.750000,3249.149902,3253.149902,3220.766602,20898
2023-05-16,3262.000000,3283.899902,3250.750000,3257.000000,3224.578369,20043
2023-05-17,3251.000000,3272.449951,3198.649902,3209.100098,3177.155273,21459
2023-05-18,null,null,null,null,null,null
2023-05-19,3204.000000,3233.949951,3202.100098,3221.750000,3189.679443,38600
2023-05-22,3222.850098,3308.000000,3218.149902,3297.949951,3265.120605,37822
2023-05-23,3308.000000,3328.949951,3290.449951,3295.699951,3262.893066,32867
2023-05-24,3268.000000,3317.350098,3268.000000,3301.050049,3268.189941,11292
2023-05-25,3290.000000,3305.649902,3267.850098,3294.750000,3261.952637,30397
2023-05-26,3288.050049,3339.000000,3288.050049,3329.000000,3295.861572,66787
2023-05-29,null,null,null,null,null,null
2023-05-30,3317.000000,3326.300049,3302.000000,3314.800049,3281.803223,39929
2023-05-31,3314.800049,3327.550049,3271.000000,3291.000000,3258.239990,28339
2023-06-01,3310.000000,3339.800049,3295.000000,3323.300049,3290.218506,62779
2023-06-02,3316.199951,3336.750000,3296.600098,3304.399902,3271.506348,22900
2023-06-05,3313.000000,3325.850098,3285.000000,3289.600098,3256.853760,35207
2023-06-06,3289.000000,3289.000000,3221.399902,3234.149902,3201.955811,150482
2023-06-07,3237.050049,3278.800049,3237.050049,3274.600098,3242.003174,109708
2023-06-08,3269.949951,3270.000000,3233.100098,3236.149902,3203.935791,63206
2023-06-09,3245.050049,3249.949951,3207.000000,3210.449951,3178.491699,137471
2023-06-12,3210.050049,3254.300049,3210.050049,3248.550049,3216.212402,95226
2023-06-13,3256.000000,3265.000000,3240.600098,3243.800049,3211.509766,111746
2023-06-14,3241.050049,3255.750000,3226.000000,3251.750000,3219.380615,120224
2023-06-15,3240.050049,3245.449951,3211.000000,3216.250000,3207.910400,133137
2023-06-16,3203.949951,3203.949951,3156.199951,3175.250000,3167.016846,151310
2023-06-19,3175.300049,3215.000000,3173.000000,3209.649902,3201.327637,88241
2023-06-20,3214.000000,3232.000000,3201.600098,3227.199951,3218.832031,55192
2023-06-21,3240.050049,3261.000000,3224.500000,3257.449951,3249.003662,34640
2023-06-22,3265.949951,3267.000000,3231.850098,3238.850098,3230.451904,85493
